location_name,start_time,end_time,date,day_of_week,n_approaching_t,n_approaching_r,n_approaching_l,n_approaching_peds,s_approaching_t,s_approaching_r,s_approaching_l,s_approaching_peds,e_approaching_t,e_approaching_r,e_approaching_l,e_approaching_peds,w_approaching_t,w_approaching_r,w_approaching_l,w_approaching_peds
McCowan Rd / Finch Ave E,10:30:00,10:45:00,2024-01-04,3,133,10,26,10,130,5,18,8,131,27,7,14,85,17,10,19
McCowan Rd / Finch Ave E,10:45:00,11:00:00,2024-01-04,3,108,19,14,11,128,7,12,11,81,17,6,13,72,9,8,19
McCowan Rd / Finch Ave E,11:00:00,11:15:00,2024-01-04,3,121,8,13,21,100,7,22,14,98,23,12,13,62,14,7,14
McCowan Rd / Finch Ave E,11:15:00,11:30:00,2024-01-04,3,104,10,15,13,101,7,33,15,92,11,6,11,59,11,10,17
McCowan Rd / Finch Ave E,11:30:00,11:45:00,2024-01-04,3,100,13,16,13,65,5,9,9,63,13,4,17,32,7,2,13
McCowan Rd / Finch Ave E,11:45:00,12:00:00,2024-01-04,3,154,6,20,11,115,4,19,16,62,15,4,13,77,7,3,22
McCowan Rd / Finch Ave E,13:00:00,13:15:00,2024-01-04,3,122,18,19,10,104,7,22,15,92,22,12,15,75,7,8,11
McCowan Rd / Finch Ave E,13:15:00,13:30:00,2024-01-04,3,113,1,9,14,150,10,25,27,102,21,5,15,67,5,6,13
McCowan Rd / Finch Ave E,13:30:00,13:45:00,2024-01-04,3,100,7,9,18,93,5,20,16,101,22,11,17,63,5,5,23
McCowan Rd / Finch Ave E,13:45:00,14:00:00,2024-01-04,3,88,6,12,19,97,4,18,13,56,18,13,14,59,5,3,21
McCowan Rd / Finch Ave E,14:00:00,14:15:00,2024-01-04,3,78,3,11,16,77,6,11,13,55,14,7,11,37,3,4,15
McCowan Rd / Finch Ave E,14:15:00,14:30:00,2024-01-04,3,152,15,21,18,84,7,12,17,94,10,9,16,63,8,6,20
McCowan Rd / Finch Ave E,14:30:00,14:45:00,2024-01-04,3,74,5,10,12,109,5,18,17,74,16,10,19,62,6,10,8
McCowan Rd / Finch Ave E,14:45:00,15:00:00,2024-01-04,3,82,6,13,13,64,2,10,20,60,11,4,11,54,10,5,18
McCowan Rd / Finch Ave E,16:00:00,16:15:00,2024-01-04,3,72,6,16,16,79,7,15,15,84,11,8,11,57,6,5,17
McCowan Rd / Finch Ave E,16:15:00,16:30:00,2024-01-04,3,102,12,18,14,78,2,10,11,64,9,6,13,47,3,7,20
McCowan Rd / Finch Ave E,16:30:00,16:45:00,2024-01-04,3,74,7,11,13,51,2,10,18,73,16,14,18,83,10,6,19
McCowan Rd / Finch Ave E,16:45:00,17:00:00,2024-01-04,3,138,4,18,20,91,2,11,5,84,12,11,21,72,13,7,13
McCowan Rd / Finch Ave E,17:00:00,17:15:00,2024-01-04,3,72,4,13,16,68,5,10,15,59,18,6,16,36,6,9,13
McCowan Rd / Finch Ave E,17:15:00,17:30:00,2024-01-04,3,132,6,11,16,92,4,14,17,69,19,7,16,98,7,13,18
McCowan Rd / Finch Ave E,17:30:00,17:45:00,2024-01-04,3,117,9,19,12,99,7,23,15,84,18,4,11,52,8,7,13
McCowan Rd / Finch Ave E,17:45:00,18:00:00,2024-01-04,3,135,7,29,9,80,7,8,12,47,10,4,16,45,9,5,18
McCowan Rd / Finch Ave E,07:30:00,07:45:00,2024-01-05,4,117,14,18,25,102,6,24,19,150,29,10,25,127,21,13,14
McCowan Rd / Finch Ave E,07:45:00,08:00:00,2024-01-05,4,137,5,17,21,200,12,38,14,159,36,23,11,130,20,16,17
McCowan Rd / Finch Ave E,08:00:00,08:15:00,2024-01-05,4,223,14,29,9,192,7,30,19,178,38,16,19,111,20,12,21
McCowan Rd / Finch Ave E,08:15:00,08:30:00,2024-01-05,4,253,22,37,14,166,10,23,15,134,36,27,19,127,24,17,13
McCowan Rd / Finch Ave E,08:30:00,08:45:00,2024-01-05,4,222,13,38,21,211,6,34,15,103,26,8,21,144,24,22,11
McCowan Rd / Finch Ave E,08:45:00,09:00:00,2024-01-05,4,271,14,50,22,188,8,30,15,160,27,11,17,169,26,16,13
McCowan Rd / Finch Ave E,09:00:00,09:15:00,2024-01-05,4,245,20,41,12,189,8,31,15,209,49,26,12,166,22,18,24
McCowan Rd / Finch Ave E,09:15:00,09:30:00,2024-01-05,4,140,9,20,12,159,4,36,21,140,22,9,23,72,11,12,14
McCowan Rd / Finch Ave E,10:00:00,10:15:00,2024-01-05,4,136,12,22,17,111,8,20,18,97,12,9,18,80,19,8,10
McCowan Rd / Finch Ave E,10:15:00,10:30:00,2024-01-05,4,132,12,32,18,148,6,22,20,119,19,11,9,78,13,4,20
McCowan Rd / Finch Ave E,10:30:00,10:45:00,2024-01-05,4,196,14,27,15,114,5,24,13,127,19,8,14,79,14,12,15
McCowan Rd / Finch Ave E,10:45:00,11:00:00,2024-01-05,4,128,10,22,17,151,7,31,18,105,26,7,13,89,6,10,14
McCowan Rd / Finch Ave E,11:00:00,11:15:00,2024-01-05,4,156,10,25,16,127,4,20,13,95,20,10,19,61,15,10,21
McCowan Rd / Finch Ave E,11:15:00,11:30:00,2024-01-05,4,158,7,18,14,121,2,25,20,68,20,10,20,76,14,14,13
McCowan Rd / Finch Ave E,11:30:00,11:45:00,2024-01-05,4,95,8,19,19,91,4,17,18,77,18,6,11,68,15,11,17
McCowan Rd / Finch Ave E,11:45:00,12:00:00,2024-01-05,4,167,8,21,11,128,6,22,13,75,19,7,20,87,8,6,18
McCowan Rd / Finch Ave E,13:00:00,13:15:00,2024-01-05,4,150,13,21,13,120,9,22,15,94,27,8,15,78,8,8,16
McCowan Rd / Finch Ave E,13:15:00,13:30:00,2024-01-05,4,108,4,16,17,112,6,11,23,97,24,8,15,96,18,4,17
McCowan Rd / Finch Ave E,13:30:00,13:45:00,2024-01-05,4,122,16,12,23,114,4,14,18,63,9,12,18,93,10,12,20
McCowan Rd / Finch Ave E,13:45:00,14:00:00,2024-01-05,4,137,5,14,21,90,2,16,15,92,22,13,18,43,8,4,11
McCowan Rd / Finch Ave E,14:00:00,14:15:00,2024-01-05,4,99,5,16,16,93,8,13,12,66,9,12,17,51,7,5,14
McCowan Rd / Finch Ave E,14:15:00,14:30:00,2024-01-05,4,128,10,19,13,151,11,29,12,120,26,3,12,102,13,9,19
McCowan Rd / Finch Ave E,14:30:00,14:45:00,2024-01-05,4,101,7,17,24,85,5,19,20,81,18,4,15,78,11,2,21
McCowan Rd / Finch Ave E,14:45:00,15:00:00,2024-01-05,4,116,10,20,14,102,6,18,14,67,23,5,21,84,12,13,22
McCowan Rd / Finch Ave E,16:00:00,16:15:00,2024-01-05,4,126,5,23,16,120,7,23,19,87,18,10,14,74,14,4,17
McCowan Rd / Finch Ave E,16:15:00,16:30:00,2024-01-05,4,141,11,18,18,87,3,15,13,84,14,5,17,66,14,6,18
McCowan Rd / Finch Ave E,16:30:00,16:45:00,2024-01-05,4,120,7,23,18,100,2,20,9,100,28,13,23,95,13,11,12
McCowan Rd / Finch Ave E,16:45:00,17:00:00,2024-01-05,4,126,8,12,19,143,9,22,17,90,15,12,24,90,17,16,26
McCowan Rd / Finch Ave E,17:00:00,17:15:00,2024-01-05,4,120,5,16,16,57,3,16,21,68,13,2,16,62,7,3,18
McCowan Rd / Finch Ave E,17:15:00,17:30:00,2024-01-05,4,131,11,25,9,105,5,22,17,91,27,7,18,81,10,4,12
McCowan Rd / Finch Ave E,17:30:00,17:45:00,2024-01-05,4,124,8,20,14,110,1,27,23,69,23,7,12,82,15,11,15
McCowan Rd / Finch Ave E,17:45:00,18:00:00,2024-01-05,4,131,9,16,18,120,3,19,20,89,15,8,20,75,12,14,13
McCowan Rd / Finch Ave E,07:30:00,07:45:00,2024-01-06,5,87,5,16,9,89,4,18,9,77,18,2,9,75,6,8,7
McCowan Rd / Finch Ave E,07:45:00,08:00:00,2024-01-06,5,79,3,9,8,127,5,15,11,72,15,3,5,87,15,10,13
McCowan Rd / Finch Ave E,08:00:00,08:15:00,2024-01-06,5,98,6,19,9,121,3,10,5,74,25,5,6,84,17,9,11
McCowan Rd / Finch Ave E,08:15:00,08:30:00,2024-01-06,5,103,6,12,7,101,9,17,2,88,21,10,10,87,17,9,15
McCowan Rd / Finch Ave E,08:30:00,08:45:00,2024-01-06,5,126,10,26,11,119,9,22,12,55,11,5,12,73,9,12,7
McCowan Rd / Finch Ave E,08:45:00,09:00:00,2024-01-06,5,118,6,15,9,142,5,25,6,84,14,8,14,38,9,5,10
McCowan Rd / Finch Ave E,09:00:00,09:15:00,2024-01-06,5,155,13,28,14,112,3,22,11,129,18,13,12,99,15,17,10
McCowan Rd / Finch Ave E,09:15:00,09:30:00,2024-01-06,5,111,12,11,11,102,2,20,10,85,17,7,15,45,9,6,5
McCowan Rd / Finch Ave E,10:00:00,10:15:00,2024-01-06,5,105,9,19,10,60,7,13,6,62,13,7,11,47,11,5,13
McCowan Rd / Finch Ave E,10:15:00,10:30:00,2024-01-06,5,110,8,12,9,82,5,12,10,78,13,10,14,61,12,8,6
McCowan Rd / Finch Ave E,10:30:00,10:45:00,2024-01-06,5,107,8,15,13,83,10,12,15,71,14,6,12,55,10,8,11
McCowan Rd / Finch Ave E,10:45:00,11:00:00,2024-01-06,5,92,13,12,9,59,3,10,10,53,17,6,9,56,7,7,8
McCowan Rd / Finch Ave E,11:00:00,11:15:00,2024-01-06,5,57,3,4,6,80,3,13,14,57,10,4,7,26,2,5,7
McCowan Rd / Finch Ave E,11:15:00,11:30:00,2024-01-06,5,47,2,6,13,76,3,14,8,55,4,4,6,32,7,13,6
McCowan Rd / Finch Ave E,11:30:00,11:45:00,2024-01-06,5,68,2,11,11,48,4,10,8,45,7,6,8,36,6,3,13
McCowan Rd / Finch Ave E,11:45:00,12:00:00,2024-01-06,5,97,4,20,12,57,5,10,5,62,23,2,3,41,9,1,9
McCowan Rd / Finch Ave E,13:00:00,13:15:00,2024-01-06,5,69,1,14,10,83,3,10,7,62,14,1,8,55,8,9,12
McCowan Rd / Finch Ave E,13:15:00,13:30:00,2024-01-06,5,96,8,11,10,56,2,6,9,50,8,6,13,49,7,9,7
McCowan Rd / Finch Ave E,13:30:00,13:45:00,2024-01-06,5,89,10,17,12,53,2,6,10,49,13,8,12,40,7,2,7
McCowan Rd / Finch Ave E,13:45:00,14:00:00,2024-01-06,5,30,3,8,12,73,5,12,10,48,7,7,10,35,6,7,4
McCowan Rd / Finch Ave E,14:00:00,14:15:00,2024-01-06,5,55,1,10,7,66,2,20,17,26,6,5,8,32,4,2,7
McCowan Rd / Finch Ave E,14:15:00,14:30:00,2024-01-06,5,89,6,11,10,71,4,13,8,64,11,7,8,56,8,3,9
McCowan Rd / Finch Ave E,14:30:00,14:45:00,2024-01-06,5,56,4,10,9,63,2,10,10,36,13,4,9,32,3,5,12
McCowan Rd / Finch Ave E,14:45:00,15:00:00,2024-01-06,5,62,3,9,13,41,2,10,14,49,13,2,5,40,4,2,11
McCowan Rd / Finch Ave E,16:00:00,16:15:00,2024-01-06,5,76,6,8,12,53,4,6,8,53,14,3,12,67,5,4,12
McCowan Rd / Finch Ave E,16:15:00,16:30:00,2024-01-06,5,49,3,12,16,52,2,7,11,43,11,3,14,45,4,1,15
McCowan Rd / Finch Ave E,16:30:00,16:45:00,2024-01-06,5,66,6,14,8,69,4,9,8,48,10,7,11,34,7,8,11
McCowan Rd / Finch Ave E,16:45:00,17:00:00,2024-01-06,5,81,13,10,12,78,6,15,8,42,7,3,11,46,6,5,7
McCowan Rd / Finch Ave E,17:00:00,17:15:00,2024-01-06,5,83,10,15,8,61,2,7,12,45,10,4,7,27,2,1,13
McCowan Rd / Finch Ave E,17:15:00,17:30:00,2024-01-06,5,59,3,11,9,74,3,10,6,30,6,4,9,43,4,1,12
McCowan Rd / Finch Ave E,17:30:00,17:45:00,2024-01-06,5,111,8,14,10,77,5,17,5,65,14,8,10,48,11,5,6
McCowan Rd / Finch Ave E,17:45:00,18:00:00,2024-01-06,5,61,3,10,14,66,3,8,8,39,3,1,14,51,3,8,8
McCowan Rd / Finch Ave E,07:30:00,07:45:00,2024-01-07,6,58,6,11,5,53,3,4,13,49,9,3,4,46,11,2,7
McCowan Rd / Finch Ave E,07:45:00,08:00:00,2024-01-07,6,94,4,23,6,90,4,18,11,87,19,10,7,55,8,4,8
McCowan Rd / Finch Ave E,08:00:00,08:15:00,2024-01-07,6,103,10,19,4,89,7,10,5,81,8,7,7,88,8,10,6
McCowan Rd / Finch Ave E,08:15:00,08:30:00,2024-01-07,6,103,5,25,7,87,6,23,7,54,9,7,12,71,15,6,8
McCowan Rd / Finch Ave E,08:30:00,08:45:00,2024-01-07,6,117,8,21,6,88,5,12,11,70,14,5,8,66,10,10,7
McCowan Rd / Finch Ave E,08:45:00,09:00:00,2024-01-07,6,140,7,22,8,83,5,14,8,73,19,4,9,90,16,8,6
